gen	nevals	avg	std	min	max
181	591   	0  	0  	0  	0  
182	585   	0  	0  	0  	0  
183	590   	0  	0  	0  	0  
184	576   	0  	0  	0  	0  
185	572   	0  	0  	0  	0  
186	625   	0  	0  	0  	0  
187	606   	0  	0  	0  	0  
188	576   	0  	0  	0  	0  
189	605   	0  	0  	0  	0  
190	604   	0  	0  	0  	0  
191	616   	0  	0  	0  	0  
192	619   	0  	0  	0  	0  
193	598   	0  	0  	0  	0  
194	610   	0  	0  	0  	0  
195	633   	0  	0  	0  	0  
196	585   	0  	0  	0  	0  
197	605   	0  	0  	0  	0  
198	563   	0  	0  	0  	0  
199	591   	0  	0  	0  	0  
200	593   	0  	0  	0  	0  
201	611   	0  	0  	0  	0  
202	611   	0  	0  	0  	0  
203	610   	0  	0  	0  	0  
204	580   	0  	0  	0  	0  
205	608   	0  	0  	0  	0  
206	639   	0  	0  	0  	0  
207	606   	0  	0  	0  	0  
208	584   	0  	0  	0  	0  
209	575   	0  	0  	0  	0  
210	599   	0  	0  	0  	0  
211	594   	0  	0  	0  	0  
212	583   	0  	0  	0  	0  
213	593   	0  	0  	0  	0  
214	603   	0  	0  	0  	0  
215	577   	0  	0  	0  	0  
216	613   	0  	0  	0  	0  
217	601   	0  	0  	0  	0  
218	615   	0  	0  	0  	0  
219	583   	0  	0  	0  	0  
220	607   	0  	0  	0  	0  
221	583   	0  	0  	0  	0  
222	632   	0  	0  	0  	0  
223	599   	0  	0  	0  	0  
224	609   	0  	0  	0  	0  
225	608   	0  	0  	0  	0  
226	594   	0  	0  	0  	0  
227	615   	0  	0  	0  	0  
228	644   	0  	0  	0  	0  
229	573   	0  	0  	0  	0  
230	583   	0  	0  	0  	0  
231	598   	0  	0  	0  	0  
232	608   	0  	0  	0  	0  
233	566   	0  	0  	0  	0  
234	599   	0  	0  	0  	0  
235	608   	0  	0  	0  	0  
236	606   	0  	0  	0  	0  
237	646   	0  	0  	0  	0  
238	593   	0  	0  	0  	0  
239	617   	0  	0  	0  	0  
240	588   	0  	0  	0  	0  
241	587   	0  	0  	0  	0  
242	576   	0  	0  	0  	0  
243	639   	0  	0  	0  	0  
244	618   	0  	0  	0  	0  
245	581   	0  	0  	0  	0  
246	612   	0  	0  	0  	0  
247	596   	0  	0  	0  	0  
248	603   	0  	0  	0  	0  
249	578   	0  	0  	0  	0  
250	617   	0  	0  	0  	0  
251	601   	0  	0  	0  	0  
252	594   	0  	0  	0  	0  
253	585   	0  	0  	0  	0  
254	586   	0  	0  	0  	0  
255	635   	0  	0  	0  	0  
256	567   	0  	0  	0  	0  
257	602   	0  	0  	0  	0  
258	574   	0  	0  	0  	0  
259	593   	0  	0  	0  	0  
260	572   	0  	0  	0  	0  
261	597   	0  	0  	0  	0  
262	591   	0  	0  	0  	0  
263	592   	0  	0  	0  	0  
264	625   	0  	0  	0  	0  
265	597   	0  	0  	0  	0  
266	602   	0  	0  	0  	0  
267	587   	0  	0  	0  	0  
268	618   	0  	0  	0  	0  
269	554   	0  	0  	0  	0  
270	600   	0  	0  	0  	0  
271	582   	0  	0  	0  	0  
272	601   	0  	0  	0  	0  
273	593   	0  	0  	0  	0  
274	573   	0  	0  	0  	0  
275	632   	0  	0  	0  	0  
276	601   	0  	0  	0  	0  
277	625   	0  	0  	0  	0  
278	561   	0  	0  	0  	0  
279	580   	0  	0  	0  	0  
280	605   	0  	0  	0  	0  
281	607   	0  	0  	0  	0  
282	614   	0  	0  	0  	0  
283	618   	0  	0  	0  	0  
284	592   	0  	0  	0  	0  
285	594   	0  	0  	0  	0  
286	603   	0  	0  	0  	0  
287	634   	0  	0  	0  	0  
288	594   	0  	0  	0  	0  
289	622   	0  	0  	0  	0  
290	646   	0  	0  	0  	0  
291	565   	0  	0  	0  	0  
292	606   	0  	0  	0  	0  
293	622   	0  	0  	0  	0  
294	603   	0  	0  	0  	0  
295	560   	0  	0  	0  	0  
296	576   	0  	0  	0  	0  
297	596   	0  	0  	0  	0  
298	618   	0  	0  	0  	0  
299	586   	0  	0  	0  	0  
300	612   	0  	0  	0  	0  
301	612   	0  	0  	0  	0  
302	605   	0  	0  	0  	0  
303	588   	0  	0  	0  	0  
304	585   	0  	0  	0  	0  
305	609   	0  	0  	0  	0  
306	586   	0  	0  	0  	0  
307	612   	0  	0  	0  	0  
308	625   	0  	0  	0  	0  
309	612   	0  	0  	0  	0  
310	596   	0  	0  	0  	0  
311	572   	0  	0  	0  	0  
312	570   	0  	0  	0  	0  
313	596   	0  	0  	0  	0  
314	627   	0  	0  	0  	0  
315	595   	0  	0  	0  	0  
316	621   	0  	0  	0  	0  
317	600   	0  	0  	0  	0  
318	632   	0  	0  	0  	0  
319	598   	0  	0  	0  	0  
320	610   	0  	0  	0  	0  
321	602   	0  	0  	0  	0  
322	606   	0  	0  	0  	0  
323	564   	0  	0  	0  	0  
324	617   	0  	0  	0  	0  
325	575   	0  	0  	0  	0  
326	572   	0  	0  	0  	0  
327	581   	0  	0  	0  	0  
328	585   	0  	0  	0  	0  
329	584   	0  	0  	0  	0  
330	598   	0  	0  	0  	0  
331	585   	0  	0  	0  	0  
332	588   	0  	0  	0  	0  
333	624   	0  	0  	0  	0  
334	645   	0  	0  	0  	0  
335	587   	0  	0  	0  	0  
336	604   	0  	0  	0  	0  
337	610   	0  	0  	0  	0  
338	573   	0  	0  	0  	0  
339	620   	0  	0  	0  	0  
340	574   	0  	0  	0  	0  
341	612   	0  	0  	0  	0  
342	560   	0  	0  	0  	0  
343	605   	0  	0  	0  	0  
344	625   	0  	0  	0  	0  
345	617   	0  	0  	0  	0  
346	597   	0  	0  	0  	0  
347	569   	0  	0  	0  	0  
348	628   	0  	0  	0  	0  
349	578   	0  	0  	0  	0  
350	602   	0  	0  	0  	0  
351	581   	0  	0  	0  	0  
352	599   	0  	0  	0  	0  
353	639   	0  	0  	0  	0  
354	608   	0  	0  	0  	0  
355	602   	0  	0  	0  	0  
356	606   	0  	0  	0  	0  
357	613   	0  	0  	0  	0  
358	605   	0  	0  	0  	0  
359	572   	0  	0  	0  	0  
360	605   	0  	0  	0  	0  
361	617   	0  	0  	0  	0  
362	587   	0  	0  	0  	0  
363	598   	0  	0  	0  	0  
364	602   	0  	0  	0  	0  
365	629   	0  	0  	0  	0  
366	591   	0  	0  	0  	0  
367	639   	0  	0  	0  	0  
368	615   	0  	0  	0  	0  
369	596   	0  	0  	0  	0  
370	609   	0  	0  	0  	0  
371	629   	0  	0  	0  	0  
372	599   	0  	0  	0  	0  
373	597   	0  	0  	0  	0  
374	611   	0  	0  	0  	0  
375	612   	0  	0  	0  	0  
376	578   	0  	0  	0  	0  
377	608   	0  	0  	0  	0  
378	622   	0  	0  	0  	0  
379	586   	0  	0  	0  	0  
